Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Lat,Lng,called,Trifecta status,Total Mental Health Care HPSA Designations,Population of Designated HPSAs,Percent of Need Met,Practitioners Needed to Remove HPSA Designation
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2,17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,36.0,32.1,40.1,32.1 - 40.1,35.5-37.1,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,44.8,38.6,51.2,38.6 - 51.2,43.7-50.1,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,43.8,38.6,49.0,38.6 - 49.0,41.6-44.3,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,38.5,31.8,45.5,31.8 - 45.5,32.4-39.2,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,44.0,38.5,49.6,38.5 - 49.6,41.2-44.1,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,42.0,35.7,48.5,35.7 - 48.5,40.5-42.8,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,43.4,37.0,49.8,37.0 - 49.8,43.3-47.5,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,40.1,35.0,45.4,35.0 - 45.4,38.8-40.6,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,36.5,31.0,42.4,31.0 - 42.4,36.0-38.2,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,38.1,31.8,44.6,31.8 - 44.6,36.1-38.7,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,34.5,30.3,38.9,30.3 - 38.9,32.1-34.7,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,35.5,30.4,40.7,30.4 - 40.7,33.6-42.1,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.1,29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,33.3,28.5,38.5,28.5 - 38.5,31.9-35.5,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.1,30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,28.0,23.2,33.2,23.2 - 33.2,27.2-28.9,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,31.8,25.7,38.4,25.7 - 38.4,29.3-31.8,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,29.5,24.9,34.3,24.9 - 34.3,26.8-29.8,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.1,33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,35.9,31.1,41.0,31.1 - 41.0,31.3-37.5,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.2,34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,35.3,30.9,39.9,30.9 - 39.9,34.3-40.9,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,29.9,25.4,34.7,25.4 - 34.7,28.1-30.3,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,38.5,34.1,43.0,34.1 - 43.0,34.1-41.7,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,34.2,29.2,39.6,29.2 - 39.6,33.8-44.4,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,32.4,26.2,39.1,26.2 - 39.1,31.4-35.6,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.2,39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,34.1,28.6,39.9,28.6 - 39.9,32.0-34.1,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,32.1,25.9,38.7,25.9 - 38.7,31.2-33.2,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,33.9,28.5,39.7,28.5 - 39.7,32.3-34.6,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.3,42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,33.8,27.0,41.1,27.0 - 41.1,33.5-38.2,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,33.5,28.4,38.9,28.4 - 38.9,30.0-33.7,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,28.6,23.4,34.3,23.4 - 34.3,28.6-30.1,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.4,45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,31.0,25.8,36.5,25.8 - 36.5,30.1-31.9,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.5,46,"Jun 1 - Jun 13, 2022",2022-06-01,2022-06-13,37.7,32.7,42.9,32.7 - 42.9,34.9-46.1,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.5,47,"Jun 29 - Jul 11, 2022",2022-06-29,2022-07-11,37.4,30.4,44.8,30.4 - 44.8,37.1-43.5,32.3182314,-86.902298,R,Republican trifecta,61,2927845.0,0.2413,156.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.5,28.8,34.4,28.8 - 34.4,25.6 - 33.3,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,35.7,30.9,40.8,30.9 - 40.8,33.5 - 36.0,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,32.7,27.8,37.9,27.8 - 37.9,32.6-34.9,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,36.4,31.5,41.4,31.5 - 41.4,35.6-41.4,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,31.6,27.1,36.3,27.1 - 36.3,26.0-31.6,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,35.2,30.0,40.7,30.0 - 40.7,34.8-37.6,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,36.5,32.1,41.1,32.1 - 41.1,35.0-37.9,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,37.1,32.8,41.5,32.8 - 41.5,34.5-38.3,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,35.3,31.1,39.6,31.1 - 39.6,34.1-35.9,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,32.9,28.4,37.7,28.4 - 37.7,30.9-34.8,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,39.6,34.1,45.3,34.1 - 45.3,38.4-42.0,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,38.8,34.1,43.7,34.1 - 43.7,37.2-40.5,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,34.8,32.0,37.8,32.0 - 37.8,33.3-35.6,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,33.6,30.5,36.8,30.5 - 36.8,33.2-35.3,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2,15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,35.5,32.7,38.5,32.7 - 38.5,33.4-36.2,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2,16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,37.4,33.5,41.3,33.5 - 41.3,36.7-38.8,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2,17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,38.5,34.4,42.8,34.4 - 42.8,37.2-39.6,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,38.2,33.8,42.8,33.8 - 42.8,25.5-38.8,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,44.6,40.6,48.6,40.6 - 48.6,44.4-49.7,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,42.6,38.3,47.0,38.3 - 47.0,41.4-43.7,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,44.1,39.8,48.5,39.8 - 48.5,41.2-44.1,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,41.5,37.9,45.2,37.9 - 45.2,40.5-42.8,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,43.1,39.3,46.9,39.3 - 46.9,40.9-43.2,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,41.3,36.5,46.1,36.5 - 46.1,40.7-45.1,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,35.6,31.7,39.7,31.7 - 39.7,25.5-35.9,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,35.6,31.6,39.7,31.6 - 39.7,33.4-36.0,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,37.8,32.9,43.0,32.9 - 43.0,36.3-42.6,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,31.8,27.7,36.0,27.7 - 36.0,31.5-33.5,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.1,29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,33.8,29.7,38.1,29.7 - 38.1,31.9-35.5,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.1,30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,29.3,25.6,33.2,25.6 - 33.2,29.0-32.3,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,26.9,22.5,31.6,22.5 - 31.6,26.9-29.2,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,31.8,26.6,37.3,26.6 - 37.3,29.9-31.9,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.1,33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,27.4,22.9,32.4,22.9 - 32.4,26.3-28.1,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.2,34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,34.2,30.0,38.5,30.0 - 38.5,31.0-34.2,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,28.1,24.0,32.5,24.0 - 32.5,28.1-30.3,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,33.5,29.3,38.0,29.3 - 38.0,31.6-34.0,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,34.3,30.3,38.4,30.3 - 38.4,33.8-44.4,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,36.5,31.6,41.6,31.6 - 41.6,35.7-41.7,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.2,39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,38.5,34.0,43.2,34.0 - 43.2,34.2-38.5,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,37.8,31.3,44.7,31.3 - 44.7,33.3-39.9,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,31.9,26.9,37.4,26.9 - 37.4,29.8-32.2,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.3,42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,33.4,28.7,38.2,28.7 - 38.2,31.8-33.4,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,32.7,28.7,36.8,28.7 - 36.8,30.0-33.7,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,27.0,23.1,31.2,23.1 - 31.2,25.0-28.5,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.4,45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,30.9,26.3,35.9,26.3 - 35.9,30.1-31.9,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.5,46,"Jun 1 - Jun 13, 2022",2022-06-01,2022-06-13,32.8,27.2,38.9,27.2 - 38.9,31.5-34.8,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.5,47,"Jun 29 - Jul 11, 2022",2022-06-29,2022-07-11,31.6,25.6,38.0,25.6 - 38.0,30.4-33.1,64.2008413,-149.4936733,R,Divided government,304,383692.0,0.1804,17.0
