,Group,Subgroup,Value,Time Period Start Date,Time Period Label,Date
67,By State,West Virginia,34.3,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
66,By State,Washington,35.0,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
65,By State,Virginia,33.7,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
64,By State,Vermont,33.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
54,By State,Ohio,35.1,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
63,By State,Utah,34.7,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
61,By State,Tennessee,33.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
60,By State,South Dakota,25.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
59,By State,South Carolina,33.3,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
58,By State,Rhode Island,34.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
57,By State,Pennsylvania,35.1,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
56,By State,Oregon,36.8,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
62,By State,Texas,34.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
35,By State,Kansas,32.5,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
51,By State,New York,41.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
33,By State,Indiana,37.8,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
14,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",43.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
13,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",31.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
12,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",38.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
11,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",33.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
10,By Race/Hispanic ethnicity,Hispanic or Latino,42.7,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
9,By Sex,Female,40.7,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
15,By Education,Less than a high school diploma,45.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
8,By Sex,Male,31.0,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
6,By Age,70 - 79 years,21.5,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
5,By Age,60 - 69 years,28.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
4,By Age,50 - 59 years,35.8,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
3,By Age,40 - 49 years,38.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
2,By Age,30 - 39 years,39.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
34,By State,Iowa,28.2,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
7,By Age,80 years and above,21.1,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
16,By Education,High school diploma or GED,36.7,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
1,By Age,18 - 29 years,46.8,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
18,By Education,Bachelor's degree or higher,30.7,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
17,By Education,Some college/Associate's degree,38.5,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
31,By State,Idaho,33.3,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
30,By State,Hawaii,37.0,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
29,By State,Georgia,36.2,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
28,By State,Florida,36.8,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
27,By State,District of Columbia,37.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
26,By State,Delaware,34.7,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
32,By State,Illinois,36.6,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
24,By State,Colorado,35.9,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
23,By State,California,37.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
22,By State,Arkansas,38.0,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
21,By State,Arizona,36.4,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
20,By State,Alaska,31.5,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
19,By State,Alabama,30.3,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
25,By State,Connecticut,40.2,04/23/2020,"Apr 23 - May 5, 2020",2020-04-23
120,By State,New Mexico,39.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
119,By State,New Jersey,39.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
118,By State,New Hampshire,35.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
117,By State,Nevada,38.1,05/07/2020,"May 7 - May 12, 2020",2020-05-07
116,By State,Nebraska,33.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
107,By State,Louisiana,42.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
115,By State,Montana,27.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
112,By State,Minnesota,27.2,05/07/2020,"May 7 - May 12, 2020",2020-05-07
113,By State,Mississippi,48.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
111,By State,Michigan,33.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
110,By State,Massachusetts,31.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
109,By State,Maryland,34.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
108,By State,Maine,32.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
121,By State,New York,36.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
114,By State,Missouri,41.3,05/07/2020,"May 7 - May 12, 2020",2020-05-07
123,By State,North Dakota,28.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
131,By State,Tennessee,34.7,05/07/2020,"May 7 - May 12, 2020",2020-05-07
125,By State,Oklahoma,31.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
106,By State,Kentucky,37.7,05/07/2020,"May 7 - May 12, 2020",2020-05-07
139,By State,Wyoming,27.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
138,By State,Wisconsin,29.7,05/07/2020,"May 7 - May 12, 2020",2020-05-07
137,By State,West Virginia,39.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
136,By State,Washington,35.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
135,By State,Virginia,30.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
124,By State,Ohio,32.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
134,By State,Vermont,35.7,05/07/2020,"May 7 - May 12, 2020",2020-05-07
132,By State,Texas,35.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
130,By State,South Dakota,29.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
129,By State,South Carolina,33.1,05/07/2020,"May 7 - May 12, 2020",2020-05-07
128,By State,Rhode Island,33.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
127,By State,Pennsylvania,32.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
126,By State,Oregon,29.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
133,By State,Utah,30.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
105,By State,Kansas,28.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
122,By State,North Carolina,28.1,05/07/2020,"May 7 - May 12, 2020",2020-05-07
103,By State,Indiana,34.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
84,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",45.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
83,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",29.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
82,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",38.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
81,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",32.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
80,By Race/Hispanic ethnicity,Hispanic or Latino,40.3,05/07/2020,"May 7 - May 12, 2020",2020-05-07
79,By Sex,Female,37.2,05/07/2020,"May 7 - May 12, 2020",2020-05-07
85,By Education,Less than a high school diploma,42.5,05/07/2020,"May 7 - May 12, 2020",2020-05-07
78,By Sex,Male,31.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
76,By Age,70 - 79 years,19.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
75,By Age,60 - 69 years,25.5,05/07/2020,"May 7 - May 12, 2020",2020-05-07
74,By Age,50 - 59 years,35.5,05/07/2020,"May 7 - May 12, 2020",2020-05-07
73,By Age,40 - 49 years,36.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
72,By Age,30 - 39 years,39.3,05/07/2020,"May 7 - May 12, 2020",2020-05-07
71,By Age,18 - 29 years,47.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
77,By Age,80 years and above,13.9,05/07/2020,"May 7 - May 12, 2020",2020-05-07
86,By Education,High school diploma or GED,37.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
70,National Estimate,United States,34.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
87,By Education,Some college/Associate's degree,36.2,05/07/2020,"May 7 - May 12, 2020",2020-05-07
102,By State,Illinois,41.8,05/07/2020,"May 7 - May 12, 2020",2020-05-07
101,By State,Idaho,29.2,05/07/2020,"May 7 - May 12, 2020",2020-05-07
100,By State,Hawaii,27.1,05/07/2020,"May 7 - May 12, 2020",2020-05-07
99,By State,Georgia,34.3,05/07/2020,"May 7 - May 12, 2020",2020-05-07
98,By State,Florida,33.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
97,By State,District of Columbia,40.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
96,By State,Delaware,31.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
104,By State,Iowa,26.1,05/07/2020,"May 7 - May 12, 2020",2020-05-07
94,By State,Colorado,32.2,05/07/2020,"May 7 - May 12, 2020",2020-05-07
93,By State,California,34.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
92,By State,Arkansas,33.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
91,By State,Arizona,38.4,05/07/2020,"May 7 - May 12, 2020",2020-05-07
90,By State,Alaska,35.7,05/07/2020,"May 7 - May 12, 2020",2020-05-07
89,By State,Alabama,30.6,05/07/2020,"May 7 - May 12, 2020",2020-05-07
88,By Education,Bachelor's degree or higher,27.5,05/07/2020,"May 7 - May 12, 2020",2020-05-07
95,By State,Connecticut,36.0,05/07/2020,"May 7 - May 12, 2020",2020-05-07
189,By State,New Jersey,39.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
188,By State,New Hampshire,28.8,05/14/2020,"May 14 - May 19, 2020",2020-05-14
187,By State,Nevada,36.9,05/14/2020,"May 14 - May 19, 2020",2020-05-14
186,By State,Nebraska,26.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
185,By State,Montana,29.7,05/14/2020,"May 14 - May 19, 2020",2020-05-14
184,By State,Missouri,35.4,05/14/2020,"May 14 - May 19, 2020",2020-05-14
180,By State,Massachusetts,32.0,05/14/2020,"May 14 - May 19, 2020",2020-05-14
182,By State,Minnesota,29.7,05/14/2020,"May 14 - May 19, 2020",2020-05-14
181,By State,Michigan,35.0,05/14/2020,"May 14 - May 19, 2020",2020-05-14
190,By State,New Mexico,37.4,05/14/2020,"May 14 - May 19, 2020",2020-05-14
179,By State,Maryland,32.7,05/14/2020,"May 14 - May 19, 2020",2020-05-14
178,By State,Maine,34.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
177,By State,Louisiana,34.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
176,By State,Kentucky,35.5,05/14/2020,"May 14 - May 19, 2020",2020-05-14
183,By State,Mississippi,44.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
191,By State,New York,34.9,05/14/2020,"May 14 - May 19, 2020",2020-05-14
195,By State,Oklahoma,29.8,05/14/2020,"May 14 - May 19, 2020",2020-05-14
193,By State,North Dakota,31.9,05/14/2020,"May 14 - May 19, 2020",2020-05-14
175,By State,Kansas,31.1,05/14/2020,"May 14 - May 19, 2020",2020-05-14
208,By State,Wisconsin,28.0,05/14/2020,"May 14 - May 19, 2020",2020-05-14
207,By State,West Virginia,34.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
206,By State,Washington,33.0,05/14/2020,"May 14 - May 19, 2020",2020-05-14
205,By State,Virginia,32.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
204,By State,Vermont,29.6,05/14/2020,"May 14 - May 19, 2020",2020-05-14
203,By State,Utah,30.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
202,By State,Texas,34.8,05/14/2020,"May 14 - May 19, 2020",2020-05-14
201,By State,Tennessee,32.5,05/14/2020,"May 14 - May 19, 2020",2020-05-14
209,By State,Wyoming,28.0,05/14/2020,"May 14 - May 19, 2020",2020-05-14
199,By State,South Carolina,31.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
198,By State,Rhode Island,26.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
197,By State,Pennsylvania,30.0,05/14/2020,"May 14 - May 19, 2020",2020-05-14
196,By State,Oregon,31.7,05/14/2020,"May 14 - May 19, 2020",2020-05-14
194,By State,Ohio,33.9,05/14/2020,"May 14 - May 19, 2020",2020-05-14
192,By State,North Carolina,32.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
200,By State,South Dakota,27.8,05/14/2020,"May 14 - May 19, 2020",2020-05-14
174,By State,Iowa,23.8,05/14/2020,"May 14 - May 19, 2020",2020-05-14
172,By State,Illinois,35.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
153,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",30.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
152,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",39.4,05/14/2020,"May 14 - May 19, 2020",2020-05-14
151,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",31.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
150,By Race/Hispanic ethnicity,Hispanic or Latino,40.7,05/14/2020,"May 14 - May 19, 2020",2020-05-14
149,By Sex,Female,37.6,05/14/2020,"May 14 - May 19, 2020",2020-05-14
147,By Age,80 years and above,17.1,05/14/2020,"May 14 - May 19, 2020",2020-05-14
154,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",37.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
146,By Age,70 - 79 years,18.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
144,By Age,50 - 59 years,33.7,05/14/2020,"May 14 - May 19, 2020",2020-05-14
143,By Age,40 - 49 years,35.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
142,By Age,30 - 39 years,37.8,05/14/2020,"May 14 - May 19, 2020",2020-05-14
141,By Age,18 - 29 years,47.7,05/14/2020,"May 14 - May 19, 2020",2020-05-14
140,National Estimate,United States,33.9,05/14/2020,"May 14 - May 19, 2020",2020-05-14
173,By State,Indiana,37.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
145,By Age,60 - 69 years,26.4,05/14/2020,"May 14 - May 19, 2020",2020-05-14
155,By Education,Less than a high school diploma,40.9,05/14/2020,"May 14 - May 19, 2020",2020-05-14
148,By Sex,Male,29.9,05/14/2020,"May 14 - May 19, 2020",2020-05-14
157,By Education,Some college/Associate's degree,36.1,05/14/2020,"May 14 - May 19, 2020",2020-05-14
171,By State,Idaho,27.6,05/14/2020,"May 14 - May 19, 2020",2020-05-14
156,By Education,High school diploma or GED,37.6,05/14/2020,"May 14 - May 19, 2020",2020-05-14
170,By State,Hawaii,29.1,05/14/2020,"May 14 - May 19, 2020",2020-05-14
169,By State,Georgia,33.6,05/14/2020,"May 14 - May 19, 2020",2020-05-14
168,By State,Florida,33.5,05/14/2020,"May 14 - May 19, 2020",2020-05-14
166,By State,Delaware,31.8,05/14/2020,"May 14 - May 19, 2020",2020-05-14
165,By State,Connecticut,33.9,05/14/2020,"May 14 - May 19, 2020",2020-05-14
167,By State,District of Columbia,37.3,05/14/2020,"May 14 - May 19, 2020",2020-05-14
163,By State,California,38.8,05/14/2020,"May 14 - May 19, 2020",2020-05-14
162,By State,Arkansas,35.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
161,By State,Arizona,32.1,05/14/2020,"May 14 - May 19, 2020",2020-05-14
160,By State,Alaska,32.7,05/14/2020,"May 14 - May 19, 2020",2020-05-14
159,By State,Alabama,25.2,05/14/2020,"May 14 - May 19, 2020",2020-05-14
158,By Education,Bachelor's degree or higher,26.4,05/14/2020,"May 14 - May 19, 2020",2020-05-14
164,By State,Colorado,33.1,05/14/2020,"May 14 - May 19, 2020",2020-05-14
260,By State,New Mexico,39.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
255,By State,Montana,30.7,05/21/2020,"May 21 - May 26, 2020",2020-05-21
259,By State,New Jersey,31.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
258,By State,New Hampshire,31.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
257,By State,Nevada,40.7,05/21/2020,"May 21 - May 26, 2020",2020-05-21
256,By State,Nebraska,28.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
254,By State,Missouri,32.9,05/21/2020,"May 21 - May 26, 2020",2020-05-21
247,By State,Louisiana,41.4,05/21/2020,"May 21 - May 26, 2020",2020-05-21
252,By State,Minnesota,26.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
251,By State,Michigan,32.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
250,By State,Massachusetts,29.5,05/21/2020,"May 21 - May 26, 2020",2020-05-21
249,By State,Maryland,31.6,05/21/2020,"May 21 - May 26, 2020",2020-05-21
248,By State,Maine,27.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
261,By State,New York,34.4,05/21/2020,"May 21 - May 26, 2020",2020-05-21
253,By State,Mississippi,37.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
262,By State,North Carolina,32.3,05/21/2020,"May 21 - May 26, 2020",2020-05-21
279,By State,Wyoming,28.3,05/21/2020,"May 21 - May 26, 2020",2020-05-21
264,By State,Ohio,34.6,05/21/2020,"May 21 - May 26, 2020",2020-05-21
246,By State,Kentucky,34.7,05/21/2020,"May 21 - May 26, 2020",2020-05-21
278,By State,Wisconsin,28.9,05/21/2020,"May 21 - May 26, 2020",2020-05-21
277,By State,West Virginia,37.9,05/21/2020,"May 21 - May 26, 2020",2020-05-21
276,By State,Washington,31.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
275,By State,Virginia,33.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
274,By State,Vermont,28.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
273,By State,Utah,31.9,05/21/2020,"May 21 - May 26, 2020",2020-05-21
272,By State,Texas,37.7,05/21/2020,"May 21 - May 26, 2020",2020-05-21
271,By State,Tennessee,33.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
270,By State,South Dakota,36.3,05/21/2020,"May 21 - May 26, 2020",2020-05-21
269,By State,South Carolina,32.2,05/21/2020,"May 21 - May 26, 2020",2020-05-21
268,By State,Rhode Island,33.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
267,By State,Pennsylvania,33.9,05/21/2020,"May 21 - May 26, 2020",2020-05-21
266,By State,Oregon,35.3,05/21/2020,"May 21 - May 26, 2020",2020-05-21
265,By State,Oklahoma,32.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
263,By State,North Dakota,28.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
245,By State,Kansas,33.2,05/21/2020,"May 21 - May 26, 2020",2020-05-21
227,By Education,Some college/Associate's degree,37.6,05/21/2020,"May 21 - May 26, 2020",2020-05-21
243,By State,Indiana,35.2,05/21/2020,"May 21 - May 26, 2020",2020-05-21
224,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",43.4,05/21/2020,"May 21 - May 26, 2020",2020-05-21
223,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",27.6,05/21/2020,"May 21 - May 26, 2020",2020-05-21
222,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",35.6,05/21/2020,"May 21 - May 26, 2020",2020-05-21
221,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",32.3,05/21/2020,"May 21 - May 26, 2020",2020-05-21
220,By Race/Hispanic ethnicity,Hispanic or Latino,41.5,05/21/2020,"May 21 - May 26, 2020",2020-05-21
219,By Sex,Female,38.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
225,By Education,Less than a high school diploma,47.7,05/21/2020,"May 21 - May 26, 2020",2020-05-21
218,By Sex,Male,30.3,05/21/2020,"May 21 - May 26, 2020",2020-05-21
216,By Age,70 - 79 years,18.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
215,By Age,60 - 69 years,27.4,05/21/2020,"May 21 - May 26, 2020",2020-05-21
214,By Age,50 - 59 years,33.7,05/21/2020,"May 21 - May 26, 2020",2020-05-21
213,By Age,40 - 49 years,35.7,05/21/2020,"May 21 - May 26, 2020",2020-05-21
212,By Age,30 - 39 years,39.5,05/21/2020,"May 21 - May 26, 2020",2020-05-21
211,By Age,18 - 29 years,46.6,05/21/2020,"May 21 - May 26, 2020",2020-05-21
217,By Age,80 years and above,20.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
226,By Education,High school diploma or GED,35.3,05/21/2020,"May 21 - May 26, 2020",2020-05-21
210,National Estimate,United States,34.3,05/21/2020,"May 21 - May 26, 2020",2020-05-21
228,By Education,Bachelor's degree or higher,27.0,05/21/2020,"May 21 - May 26, 2020",2020-05-21
242,By State,Illinois,35.6,05/21/2020,"May 21 - May 26, 2020",2020-05-21
241,By State,Idaho,24.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
240,By State,Hawaii,26.6,05/21/2020,"May 21 - May 26, 2020",2020-05-21
239,By State,Georgia,37.5,05/21/2020,"May 21 - May 26, 2020",2020-05-21
244,By State,Iowa,25.9,05/21/2020,"May 21 - May 26, 2020",2020-05-21
237,By State,District of Columbia,34.2,05/21/2020,"May 21 - May 26, 2020",2020-05-21
236,By State,Delaware,31.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
238,By State,Florida,39.1,05/21/2020,"May 21 - May 26, 2020",2020-05-21
234,By State,Colorado,33.5,05/21/2020,"May 21 - May 26, 2020",2020-05-21
233,By State,California,36.2,05/21/2020,"May 21 - May 26, 2020",2020-05-21
232,By State,Arkansas,33.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
231,By State,Arizona,35.5,05/21/2020,"May 21 - May 26, 2020",2020-05-21
230,By State,Alaska,36.4,05/21/2020,"May 21 - May 26, 2020",2020-05-21
229,By State,Alabama,28.8,05/21/2020,"May 21 - May 26, 2020",2020-05-21
235,By State,Connecticut,28.0,05/21/2020,"May 21 - May 26, 2020",2020-05-21
331,By State,New York,34.8,05/28/2020,"May 28 - June 2, 2020",2020-05-28
330,By State,New Mexico,39.5,05/28/2020,"May 28 - June 2, 2020",2020-05-28
329,By State,New Jersey,36.5,05/28/2020,"May 28 - June 2, 2020",2020-05-28
328,By State,New Hampshire,31.8,05/28/2020,"May 28 - June 2, 2020",2020-05-28
327,By State,Nevada,34.2,05/28/2020,"May 28 - June 2, 2020",2020-05-28
326,By State,Nebraska,26.6,05/28/2020,"May 28 - June 2, 2020",2020-05-28
318,By State,Maine,29.3,05/28/2020,"May 28 - June 2, 2020",2020-05-28
324,By State,Missouri,33.7,05/28/2020,"May 28 - June 2, 2020",2020-05-28
323,By State,Mississippi,38.7,05/28/2020,"May 28 - June 2, 2020",2020-05-28
322,By State,Minnesota,30.0,05/28/2020,"May 28 - June 2, 2020",2020-05-28
321,By State,Michigan,34.5,05/28/2020,"May 28 - June 2, 2020",2020-05-28
320,By State,Massachusetts,29.9,05/28/2020,"May 28 - June 2, 2020",2020-05-28
319,By State,Maryland,30.8,05/28/2020,"May 28 - June 2, 2020",2020-05-28
332,By State,North Carolina,33.0,05/28/2020,"May 28 - June 2, 2020",2020-05-28
325,By State,Montana,28.6,05/28/2020,"May 28 - June 2, 2020",2020-05-28
333,By State,North Dakota,26.0,05/28/2020,"May 28 - June 2, 2020",2020-05-28
341,By State,Tennessee,33.6,05/28/2020,"May 28 - June 2, 2020",2020-05-28
335,By State,Oklahoma,38.6,05/28/2020,"May 28 - June 2, 2020",2020-05-28
317,By State,Louisiana,36.3,05/28/2020,"May 28 - June 2, 2020",2020-05-28
349,By State,Wyoming,32.9,05/28/2020,"May 28 - June 2, 2020",2020-05-28
348,By State,Wisconsin,26.7,05/28/2020,"May 28 - June 2, 2020",2020-05-28
347,By State,West Virginia,38.9,05/28/2020,"May 28 - June 2, 2020",2020-05-28
346,By State,Washington,36.7,05/28/2020,"May 28 - June 2, 2020",2020-05-28
345,By State,Virginia,31.4,05/28/2020,"May 28 - June 2, 2020",2020-05-28
334,By State,Ohio,37.0,05/28/2020,"May 28 - June 2, 2020",2020-05-28
344,By State,Vermont,35.3,05/28/2020,"May 28 - June 2, 2020",2020-05-28
342,By State,Texas,36.9,05/28/2020,"May 28 - June 2, 2020",2020-05-28
340,By State,South Dakota,29.7,05/28/2020,"May 28 - June 2, 2020",2020-05-28
339,By State,South Carolina,35.6,05/28/2020,"May 28 - June 2, 2020",2020-05-28
338,By State,Rhode Island,34.0,05/28/2020,"May 28 - June 2, 2020",2020-05-28
