,index,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
100,3215,Symptoms of Depressive Disorder,By Sex,United States,Male,2,16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,23.5,22.5,24.4,22.5 - 24.4
102,3425,Symptoms of Depressive Disorder,By Sex,United States,Male,2,17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,23.7,22.6,24.8,22.6 - 24.8
103,3426,Symptoms of Depressive Disorder,By Sex,United States,Female,2,17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,28.1,27.3,28.9,27.3 - 28.9
109,3635,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,25.4,24.0,26.9,24.0 - 26.9
110,3636,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,29.7,28.6,30.9,28.6 - 30.9
117,3846,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,31.3,30.3,32.3,30.3 - 32.3
118,3845,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,25.7,24.7,26.7,24.7 - 26.7
120,4055,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,26.7,25.5,27.9,25.5 - 27.9
121,4056,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,30.9,30.1,31.8,30.1 - 31.8
126,4265,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.9,26.8,29.2,26.8 - 29.2
127,4266,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,32.3,31.4,33.3,31.4 - 33.3
138,4494,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,25.9,24.7,27.1,24.7 - 27.1
143,4495,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,30.6,29.7,31.5,29.7 - 31.5
147,4743,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,30.4,29.5,31.2,29.5 - 31.2
148,4742,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,26.3,25.3,27.3,25.3 - 27.3
151,4952,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,26.1,25.0,27.3,25.0 - 27.3
152,4953,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,29.9,29.1,30.8,29.1 - 30.8
159,5163,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,28.7,27.8,29.7,27.8 - 29.7
161,5162,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,26.7,25.6,28.0,25.6 - 28.0
162,5372,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,24.2,23.2,25.3,23.2 - 25.3
163,5373,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,28.4,27.6,29.2,27.6 - 29.2
169,5582,Symptoms of Depressive Disorder,By Sex,United States,Male,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,23.2,22.0,24.4,22.0 - 24.4
170,5583,Symptoms of Depressive Disorder,By Sex,United States,Female,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,26.0,25.1,27.0,25.1 - 27.0
183,5812,Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,25.2,24.0,26.4,24.0 - 26.4
184,5811,Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,20.5,19.4,21.7,19.4 - 21.7
187,6065,Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,20.1,19.1,21.1,19.1 - 21.1
188,6066,Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,23.6,22.8,24.4,22.8 - 24.4
192,6281,Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,19.7,18.7,20.7,18.7 - 20.7
193,6282,Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,23.3,22.5,24.1,22.5 - 24.1
202,6497,Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,19.3,18.3,20.3,18.3 - 20.3
203,6498,Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,22.4,21.5,23.3,21.5 - 23.3
204,6713,Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,20.1,18.9,21.3,18.9 - 21.3
205,6714,Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,23.0,21.8,24.1,21.8 - 24.1
214,6929,Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,18.4,17.3,19.5,17.3 - 19.5
215,6930,Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,23.1,22.2,24.0,22.2 - 24.0
225,7167,Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,23.1,22.3,24.0,22.3 - 24.0
226,7166,Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,21.1,19.9,22.4,19.9 - 22.4
231,7443,Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,23.0,22.1,23.9,22.1 - 23.9
232,7442,Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,19.6,18.4,20.7,18.4 - 20.7
234,7676,Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,20.7,19.5,21.8,19.5 - 21.8
235,7677,Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,24.4,23.6,25.3,23.6 - 25.3
243,7911,Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,23.6,22.7,24.6,22.7 - 24.6
244,7910,Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,21.2,20.0,22.4,20.0 - 22.4
246,8144,Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,21.2,20.0,22.3,20.0 - 22.3
247,8145,Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,23.4,22.4,24.4,22.4 - 24.4
256,8379,Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,23.8,22.9,24.7,22.9 - 24.7
257,8378,Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,19.7,18.6,20.8,18.6 - 20.8
267,8634,Symptoms of Depressive Disorder,By Sex,United States,Female,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,22.8,21.9,23.7,21.9 - 23.7
268,8633,Symptoms of Depressive Disorder,By Sex,United States,Male,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,20.0,19.0,21.0,19.0 - 21.0
270,8909,Symptoms of Depressive Disorder,By Sex,United States,Male,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,20.7,19.6,21.9,19.6 - 21.9
271,8910,Symptoms of Depressive Disorder,By Sex,United States,Female,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,24.8,24.0,25.6,24.0 - 25.6
276,9143,Symptoms of Depressive Disorder,By Sex,United States,Male,3.3,42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,20.2,19.3,21.1,19.3 - 21.1
277,9144,Symptoms of Depressive Disorder,By Sex,United States,Female,3.3,42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,24.0,23.2,24.9,23.2 - 24.9
288,9404,Symptoms of Depressive Disorder,By Sex,United States,Male,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,20.4,19.5,21.3,19.5 - 21.3
291,9405,Symptoms of Depressive Disorder,By Sex,United States,Female,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,22.9,22.0,23.8,22.0 - 23.8
294,9692,Symptoms of Depressive Disorder,By Sex,United States,Male,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,19.9,18.8,21.0,18.8 - 21.0
295,9693,Symptoms of Depressive Disorder,By Sex,United States,Female,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,23.4,22.4,24.3,22.4 - 24.3
303,9927,Symptoms of Depressive Disorder,By Sex,United States,Female,3.4,45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,23.4,22.2,24.7,22.2 - 24.7
304,9926,Symptoms of Depressive Disorder,By Sex,United States,Male,3.4,45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,20.5,19.3,21.7,19.3 - 21.7
315,10188,Symptoms of Depressive Disorder,By Sex,United States,Female,3.5,46,"Jun 1 - Jun 13, 2022",2022-06-01,2022-06-13,23.9,22.9,24.8,22.9 - 24.8
316,10187,Symptoms of Depressive Disorder,By Sex,United States,Male,3.5,46,"Jun 1 - Jun 13, 2022",2022-06-01,2022-06-13,20.9,19.8,22.1,19.8 - 22.1
319,10475,Symptoms of Depressive Disorder,By Sex,United States,Male,3.5,47,"Jun 29 - Jul 11, 2022",2022-06-29,2022-07-11,21.2,20.3,22.2,20.3 - 22.2
320,10476,Symptoms of Depressive Disorder,By Sex,United States,Female,3.5,47,"Jun 29 - Jul 11, 2022",2022-06-29,2022-07-11,25.1,24.0,26.1,24.0 - 26.1
